"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
642121,,"R",387,139,"41.7",-1.6927022438707413,5.739560723514212,-0.10517044590916,4.323368756189344
642152,,"R",841,9999,"34.8",-2.049854175107956,6.072033293697978,-0.11413286152424433,4.725124295730615
642207,,"R",1114,147,"21.0",-2.443868845787221,5.260430879712747,-0.46983838482512313,4.507977726120642
642216,,"R",171,147,"28.5",-2.1807598594777278,5.599122807017544,-0.11938190105388248,4.479710958397181
642232,,"L",1017,147,"13.0",3.241339449550072,5.037148475909538,0.9307659005463275,4.503181169319431
642239,,"L",347,158,"41.5",2.01090261707816,5.652391930835735,0.34787734284701566,4.1805436743259
642397,,"L",1031,9999,"36.0",2.129313712059382,5.656818622696411,0.16750364191351524,4.228785785826543
642520,,"R",121,140,"43.5",-1.9427435745527681,5.725619834710744,-0.2797456571058175,4.14487309188138
642528,,"R",467,147,"44.6",-1.6596147427594337,5.401605995717345,-0.028216345849221544,3.78913593976037
642547,,"R",3086,158,"38.4",-2.1211873368620857,5.320466623460791,-0.357119044549417,3.9200493286915896
642585,,"R",626,110,"65.8",-0.27710280468042137,6.96832268370607,0.7644215206471784,4.63745625039153
642701,,"R",1001,134,"31.9",-2.3949736423246297,5.75975024975025,-0.3330267980682419,4.47391254921549
642759,,"R",76,9999,"47.6",-1.1988418641122192,6.348421052631579,0.4826488694999531,4.504623782718829
643338,,"R",709,141,"46.1",-1.5642065636138027,6.138631875881523,0.07264075836771432,4.434513002421125
643361,,"R",216,9999,"49.6",-1.0791079998069553,6.166898148148148,0.3343986531986532,4.508181882551
643377,,"R",1092,9999,"43.2",-1.4509927736199657,5.493159340659341,0.21140330388565684,3.930092331443067
643410,,"R",832,147,"50.1",-1.3027851167379343,5.7946875,0.07953419021236117,4.140508791499554
643511,,"R",964,9999,"-60.6",-2.822497623247724,1.3316182572614108,-1.6652346694920896,3.389811450174185
645261,,"R",2891,146,"31.8",-2.3420964718068578,5.954600484261501,-0.14768214703446864,4.591814671014785
645305,,"R",14,141,"44.5",-1.9955730218582508,7.020714285714286,-0.30863023936847467,5.3626156671759615
646242,,"L",26,136,"29.9",2.2588089835780565,5.445769230769231,0.3419010592348828,4.34176663924311
647315,,"R",127,9999,"29.3",-2.514608016020694,5.5705511811023625,-0.3940287668252698,4.376230367594425
647336,,"R",1527,9999,"32.8",-2.215811586402778,5.77931892599869,-0.20841015365722404,4.483790314096705
650556,,"R",1188,117,"40.7",-1.8051139939613636,5.636767676767676,-0.04683699682505387,4.1180868863921445
650633,,"R",1219,135,"26.6",-2.267994619383855,5.500278917145201,-0.2624817227674126,4.493773769739083
650644,,"R",1747,9999,"42.5",-1.4169719247400332,6.278380080137379,0.21343290831137054,4.782495134516314
650671,,"L",41,108,"35.0",2.110528576675424,5.301951219512195,0.22287438807008392,3.977927992261206
650893,,"L",714,9999,"45.1",1.5314459875723716,5.982521008403361,-0.15126780733683848,4.29458592511871
650911,,"L",2893,143,"29.6",2.189838693230404,5.914662979605946,0.17430989203147557,4.768564839556789
655889,,"R",431,139,"47.4",-1.5330594301179679,5.549512761020882,-0.0035554747695323552,3.8846317811663793
656186,,"R",456,145,"24.7",-2.1889848905777978,5.17796052631579,-0.29864960049410516,4.306935172545892
656222,,"L",916,109,"47.9",1.798225444627401,5.944650655021834,0.23087598428414638,4.210010532307405
656234,,"R",957,9999,"17.5",-2.494325495502351,5.211462904911181,-0.30742340163575643,4.521978319894501
656240,,"R",711,9999,"45.0",-1.4441520505300638,6.160028129395218,0.15448899293255214,4.563198450125479
656257,,"R",63,109,"37.2",-1.9140423011586685,5.591428571428572,-0.08717990549755256,4.203268647256882
656271,,"L",1014,108,"40.9",1.9252803784356696,6.2934516765285995,0.13739247829847379,4.743578857580328
656288,,"R",1343,121,"42.3",-1.6558817060304931,5.757334326135518,-0.008740227003953948,4.2585766355022345
656302,,"R",3044,135,"51.3",-1.4154893299678568,6.138521681997372,-0.031027070260071534,4.411051662573404
656420,,"R",81,9999,"44.3",-1.7047118012744018,6.101234567901234,-0.05567820250434632,4.492954622477498
656427,,"R",2829,116,"27.0",-2.0502590918867196,5.3180240367621066,-0.062488587106168676,4.303888332706392
656457,,"L",837,145,"10.8",3.089143424296734,4.889725209080048,0.7542826005149534,4.443210651422511
656458,,"L",18,115,"49.7",1.4333218613912424,5.767777777777778,-0.07017557932263813,3.9942684739552385
656464,,"R",491,109,"41.8",-1.7312656934640003,6.51908350305499,0.07803836526278721,4.90021606202192
656546,,"R",1127,141,"37.2",-1.9090117504234867,5.770292812777285,0.08443732275518902,4.25838289726958
656550,,"R",1964,144,"38.8",-1.9732527074453756,5.87337067209776,-0.24766838090077728,4.487358124720912
656557,,"R",749,111,"20.3",-2.6755458243305754,5.498798397863818,-0.3507925884542432,4.637244144182737
