"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Julks, Corey",667452,"CWS","ST","Sweeper",15.7,0,"3",6,"2","0.5","1","0.625",0,0,,"0.048","0.13","0.074",0
"Nola, Austin",543592,"COL","CU","Curveball",-6.4,-1,"10",6.8,"2","0","0","0",40,50,25,"0.199","0.217","0.181",100
"Karros, Kyle",691720,"COL","FS","Split-Finger",3.7,0,"9",1.4,"2","0","0","0.35",33.3,0,0,"0.097","0.098","0.395",0
"Riley, Austin",663586,"ATL","SV","Slurve",26.1,2,"8",0.4,"2","0.5","2","1",16.7,50,25,"0.5","2","1",100
"Barnhart, Tucker",571466,"TEX","ST","Sweeper",1,0,"9",15.5,"2","0.5","0.5","0.45",0,0,0,"0.382","0.518","0.373",50
"Larnach, Trevor",663616,"MIN","SV","Slurve",-4.6,0,"8",0.4,"2","0","0","0",60,50,33.3,"0.183","0.186","0.165",0
"Pillar, Kevin",607680,"TEX","FS","Split-Finger",4,0,"5",3.2,"2","0.5","0.5","0.45",0,0,0,"0.212","0.381","0.246",50
"Conine, Griffin",665052,"MIA","FC","Cutter",8.9,2,"21",6.2,"2","1","3","1.625",20,0,,"0.551","1.428","0.829",100
"Ornelas, Jonathan",680716,"ATL","FC","Cutter",-12.2,0,"2",4.9,"2","0","0","0",0,0,,"0.14","0.149","0.129",0
"White, Eli",642201,"ATL","SV","Slurve",-6.5,-1,"8",0.8,"2","0","0","0",40,50,25,"0.189","0.193","0.17",0
"Rosario, Eddie",592696,"ATL","CU","Curveball",-14.2,-1,"4",17.4,"2","0","0","0",0,0,0,"0.1","0.101","0.093",0
"Alcántara, Kevin",682634,"CHC","SI","Sinker",2.5,0,"7",15.2,"2","0.5","0.5","0.45",50,0,,"0.707","0.793","0.662",50
"Alfaro, Jorge",595751,"WSH","CH","Changeup",1.7,0,"7",5.1,"2","0.5","0.5","0.45",40,0,0,"0.618","0.692","0.585",50
"Azocar, José",640492,"ATL","SI","Sinker",-2,0,"10",14.9,"2","0","0","0",0,0,0,"0.288","0.291","0.259",0
"Miller, Owen",680911,"COL","CH","Changeup",2.1,0,"4",5.9,"2","0","0","0.35",0,0,0,"0.043","0.046","0.369",0
"Wisely, Brett",689172,"ATL","FS","Split-Finger",-5.2,0,"9",3.4,"2","0","0","0",20,50,20,"0.034","0.034","0.03",0
"Rosario, Eddie",592696,"ATL","FF","4-Seam Fastball",-11.2,-1,"8",34.8,"2","0","0","0",28.6,0,0,"0.289","0.659","0.393",100
"Outman, James",681546,"MIN","SV","Slurve",-2.9,0,"7",1.2,"2","0","0","0.35",50,0,0,"0.282","0.282","0.476",0
"Dalbec, Bobby",666915,"CWS","CH","Changeup",5.5,0,"8",9.2,"2","0.5","0.5","0.45",0,0,0,"0.281","0.391","0.287",50
"Ballesteros, Moisés",694208,"CHC","ST","Sweeper",-7.7,0,"5",2,"2","0","0","0",100,100,66.7,,,"0",
"Fairchild, Stuart",656413,"ATL","ST","Sweeper",-2.9,0,"13",6.7,"2","0","0","0",50,50,50,"0.132","0.152","0.122",0
"Hilliard, Sam",656541,"COL","SV","Slurve",-2,0,"11",4,"2","0","0","0.35",33.3,50,100,,,"0.35",
"Arias, Gabriel",672356,"CLE","SV","Slurve",5.4,0,"6",0.3,"2","0","0","0.35",33.3,50,33.3,,,"0.35",
"León, Sandy",506702,"ATL","FF","4-Seam Fastball",-7.5,-1,"12",29.3,"2","0","0","0",12.5,50,50,"0.075","0.275","0.139",100
"Schunk, Aaron",668845,"COL","FC","Cutter",-10.1,-1,"8",7.3,"2","0","0","0",80,100,100,,,"0",
"Hiura, Keston",669374,"COL","FS","Split-Finger",-7.9,-1,"7",9.3,"2","0","0","0",80,100,40,,,"0",
"Bryant, Kris",592178,"COL","CH","Changeup",-6.4,0,"7",4.2,"2","0","0","0",100,100,50,,,"0",
"Lee, Korey",686676,"CWS","FS","Split-Finger",5.8,1,"13",8.5,"2","1","2","0.975",55.6,0,0,"0.437","0.822","0.611",100
"Williams, Luke",663897,"ATL","FC","Cutter",-4.7,0,"7",6.5,"2","0","0","0",0,0,0,"0.013","0.013","0.011",0
"Jones, Nolan",666134,"CLE","SV","Slurve",1.8,0,"5",0.3,"2","0","0","0.35",100,50,50,,,"0.35",
"Azocar, José",640492,"ATL","FC","Cutter",-7.8,-1,"8",11.9,"2","0","0","0",0,0,0,"0.266","0.401","0.279",50
"Bruján, Vidal",660644,"ATL","FS","Split-Finger",-4.2,0,"10",2.9,"2","0","0","0",0,50,25,"0.06","0.061","0.054",0
"Dalbec, Bobby",666915,"CWS","ST","Sweeper",11.2,1,"9",10.3,"2","0.5","1","0.625",50,50,16.7,"0.488","0.558","0.463",0
"Winkler, Jack",676466,"MIA","SI","Sinker",2.4,0,"9",12,"2","0.5","0.5","0.45",0,0,0,"0.183","0.183","0.169",0
"Ornelas, Jonathan",680716,"ATL","SL","Slider",-4.9,0,"10",24.4,"2","0","0","0",60,50,25,"0.033","0.033","0.032",100
"León, Sandy",506702,"ATL","CH","Changeup",-9.1,-1,"6",14.6,"2","0","0","0",66.7,50,50,"0.045","0.053","0.044",0
"Stefanic, Michael",683021,"TOR","CH","Changeup",-6.9,0,"7",7.1,"2","0","0","0",42.9,100,50,,,"0",
"Clase, Jonatan",682729,"TOR","FS","Split-Finger",-4,0,"8",1.8,"2","0","0","0",0,50,33.3,"0.046","0.048","0.042",0
"Bichette, Bo",666182,"TOR","SV","Slurve",-5.3,-1,"15",0.6,"2","0","0","0",37.5,50,25,"0.229","0.277","0.206",100
"Schneider, Davis",676914,"TOR","FS","Split-Finger",-2.6,0,"12",1.2,"2","0","0","0",0,50,20,"0.002","0.002","0.002",0
"Santander, Anthony",623993,"TOR","SV","Slurve",-14.4,0,"3",0.3,"2","0","0","0",0,0,0,"0.167","0.18","0.154",50
"Ozuna, Marcell",542303,"ATL","SV","Slurve",-1.4,0,"19",0.7,"2","0","0","0",66.7,100,25,,,"0",
"Harris II, Michael",671739,"ATL","SV","Slurve",0.7,0,"9",0.4,"2","0","0","0.35",66.7,50,33.3,,,"0.35",
"Encarnacion-Strand, Christian",687952,"CIN","FS","Split-Finger",-6.1,0,"7",1.5,"2","0","0","0",100,100,66.7,,,"0",
"Salazar, César",663967,"HOU","SI","Sinker",14,1,"5",10.4,"2","1","1","0.8",0,0,0,"0.8","0.934","0.732",0
"Hinds, Rece",677956,"CIN","CU","Curveball",-3,-1,"21",12.3,"2","0","0","0",87.5,100,25,,,"0",
"Rice, Ben",700250,"NYY","SV","Slurve",7.2,1,"14",0.7,"2","0.5","1.5","0.8",14.3,0,0,"0.491","1.372","0.767",100
"Stewart, Sal",701398,"CIN","CH","Changeup",-6.5,-1,"8",3.7,"2","0","0","0",25,0,0,"0.053","0.17","0.095",50
"Vivas, Jorbit",678391,"NYY","FS","Split-Finger",0.6,0,"12",4.9,"2","0","0","0.35",0,0,0,"0.232","0.232","0.454",100
"Nuñez, Dom",624513,"CLE","FF","4-Seam Fastball",-5.3,0,"6",21.4,"2","0","0","0",0,100,66.7,,,"0",
"Heineman, Tyler",623168,"TOR","SV","Slurve",22.7,1,"4",0.6,"2","0.5","2","1",33.3,0,0,"0.487","1.224","0.714",50
"Slater, Austin",596103,"NYY","FS","Split-Finger",-2.7,0,"10",1.6,"2","0","0","0",50,50,25,,,"0",0
"Reyes, Pablo",622569,"NYY","CH","Changeup",-4.5,0,"10",7.6,"2","0","0","0",0,0,0,"0.169","0.189","0.161",0
"McMahon, Ryan",641857,"NYY","SV","Slurve",-1.5,0,"18",0.7,"2","0","0","0",50,100,22.2,,,"0",
"Steer, Spencer",668715,"CIN","SV","Slurve",-10.7,0,"4",0.2,"2","0","0","0",50,50,50,"0.041","0.146","0.076",100
"Veen, Zac",691728,"COL","SL","Slider",0.7,0,"8",5.7,"2","0","0","0.35",66.7,50,50,,,"0.35",
"Crim, Blaine",688760,"COL","FS","Split-Finger",-13.2,0,"3",1,"2","0","0","0",100,100,66.7,,,"0",
"Dunn, Blake",694362,"CIN","FS","Split-Finger",-10.9,0,"4",1.3,"2","0","0","0",0,0,0,"0.192","0.196","0.175",50
"Andujar, Miguel",609280,"CIN","SV","Slurve",-13.9,-1,"4",0.3,"2","0","0","0",75,50,100,"0.051","0.061","0.049",0
"Banfield, Will",677943,"CIN","SL","Slider",-1.3,0,"14",31.8,"2","0","0","0",14.3,0,0,"0.362","0.39","0.33",50
"Alfaro, Jorge",595751,"WSH","CU","Curveball",1,0,"8",5.9,"2","0.5","0.5","0.45",25,0,0,"0.658","0.76","0.622",0
"Salazar, César",663967,"HOU","FC","Cutter",-15.8,-1,"4",8.3,"2","0","0","0",50,50,50,"0.018","0.018","0.016",0
"Dunn, Blake",694362,"CIN","ST","Sweeper",-5.6,-1,"9",2.8,"2","0","0","0",28.6,50,20,"0.323","1.234","0.637",100
"Singleton, Jon",572138,"HOU","FF","4-Seam Fastball",-8.6,0,"5",20,"2","0","0","0",50,50,100,"0.028","0.033","0.025",0
"Acuña, Luisangel",682668,"NYM","SV","Slurve",7.5,0,"4",0.6,"2","0.5","0.5","0.9",0,0,0,"0.104","0.108","0.102",0
