"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Brzykcy, Zach",694350,"R","98.4",,,"99.3",,"60",,,
"Mattson, Isaac",676755,"R","98.4",,,"94.9",,,"40.5",,
"Wacha, Michael",608379,"R","98.4","96.5","61.6","78.2",,"86.8","29.9",,
"Harris, Hogan",663687,"L","98.3",,"68.5","99.2",,"95.9","34.5","70.1",
"Peralta, Luis",678821,"L","98.3",,,"98",,"59.1",,,
"Yoho, Craig",684974,"R","98.3",,"54.6","88.7",,,,"95.3",
"Estrada, Lazaro",681751,"R","98.3",,,,,"84.7","34.5",,
"Vesia, Alex",681911,"L","98.2",,,"99.6",,,"43.1",,
"Blanco, Ronel",669854,"R","98.2",,,"96.9",,"45","34.8",,
"Lara, Andry",691251,"R","98.2","98.6",,,"96.2",,"23.1",,
"Gausman, Kevin",592332,"R","98.2",,,,"85",,"18.9",,
"Maxwell, Zach",687209,"R","98.2",,"58.3",,,,"31.4",,
"Lodolo, Nick",666157,"L","98.2","98.8",,"96",,"41.2",,,
"Dodd, Dylan",689266,"L","98.2",,"48.2","62.2",,,"13.9",,
"Anderson, Nick",623433,"R","98.2",,,"99",,"21.2",,,
"Mize, Casey",663554,"R","98.1","96.8",,,"94.7",,"42.3",,"32.5"
"Lord, Brad",695418,"R","98.1","98.6",,"98.7",,,"13.8",,
"Rangel, Alan",660604,"R","98.1",,,"93.6",,"98.4","44.1",,
"Bednar, David",670280,"R","98",,,,"74.2","65",,,
"Ureña, José",570632,"R","98","96.3",,"99.1","85",,"50.1",,
"Montgomery, Mason",682254,"L","98",,,,,,"14.6",,
"Latz, Jacob",656641,"L","98",,,"97",,"76.7","31.3",,
"Strahm, Matt",621381,"L","98","98.5","50.1",,,,"19.3",,
"Henderson, Logan",701656,"R","97.9",,"58.2","94.5",,,"20.7",,
"Alvarado, Elvis",665660,"R","97.9","96.9",,"99.1",,,"26.9",,
"Bowden, Ben",641386,"L","97.9",,,"98.9",,,"26.2",,
"Erceg, Lucas",668674,"R","97.9","98.1",,"95.6",,,"20.2",,
"Sabrowski, Erik",681870,"L","97.9",,,,,"79.5","28.6",,
"Darnell, Dugan",699911,"R","97.8",,,,"97.7",,"20.3",,
"Maldonado, Anthony",687424,"R","97.8",,,,,,"21.3",,
"Rodón, Carlos",607074,"L","97.8","80.7",,"79.3",,"72.1","20.1",,
"Cortes, Nestor",641482,"L","97.7",,"58.5","92.8",,,,"40.9",
"Kremer, Dean",665152,"R","97.7","92.3","45.5",,"96.3","63.5",,,
"Sears, JP",676664,"L","97.7","97.1",,"95.6",,"40.4","31.8","38.9",
"Romano, Jordan",605447,"R","97.6",,,,,,"18.5",,
"Hoffman, Jeff",656546,"R","97.6","98.6",,,"95",,"19.6",,
"Curvelo, Luis",681168,"R","97.6","97.7",,"99.6",,,"24.8",,
"Anderson, Ian",666120,"R","97.5",,,"94.1",,"48.6",,,
"Walker, Taijuan",592836,"R","97.5","96.2","57.3",,"79.9","68.1","31",,
"Beck, Tristan",663941,"R","97.5",,,,,"85.5","42.6","63.6",
"Hoffmann, Andrew",694851,"R","97.5",,,"95.6",,,"38.6",,
"Smith-Shawver, AJ",700363,"R","97.5",,,,"85.2","78.4","54.5",,
"Kowar, Jackson",663804,"R","97.4",,,"84.3",,,"29.9",,
"Swanson, Erik",657024,"R","97.3",,,,"85.8",,"34.5",,
"Lively, Ben",594902,"R","97.3","96.1","48.8","98.4",,"72.3","46.1","51.7",
"Gonsolin, Tony",664062,"R","97.3",,,,"86.4","65.7","32.7",,
"Harrington, Thomas",802419,"R","97.3",,"41.4",,"92.1",,,"48.8",
"Kerkering, Orion",689147,"R","97.3","91.9",,,,,,"45.8",
"Reynolds, Sean",669308,"R","97.2",,,"98.5",,,"30.6","58.1",
"Hendriks, Liam",521230,"R","97.1",,,,,"80.3","22.9",,
"Williams, Devin",642207,"R","97.1",,,"87.1",,,,,
"Skenes, Paul",694973,"R","97.1","96.3",,"97.9","90","43.2","28.9","36.8",
"Agnos, Zach",688642,"R","97.1",,"61.8",,"90.6",,,"61.5",
"Sulser, Cole",642121,"R","97.1",,"44.8","83.3",,,,,
"Daniel, Davis",669721,"R","97",,,,"95.9",,"38.5","36.9",
"Jarvis, Bryce",686826,"R","97","94.7","27.6","95",,"81","31.2",,
"Alcantara, Sandy",645261,"R","97","96.3",,"94",,"23","24.5",,
"Fuentes, Didier",800311,"R","97",,,,,"79.6",,"50.9",
"Ort, Kaleb",672391,"R","96.9",,"60.8","96.2",,,,"51",
"Bradley, Taj",671737,"R","96.9","97.3","46.3",,"93","78.9",,,
"Ryan, Joe",657746,"R","96.9","95.4",,,"80.4","72.8","33.4","63.2",
"Manaea, Sean",640455,"L","96.9",,,"91.7",,,,"46.3",
"Otañez, Michel",671305,"R","96.9","97.4",,,,,"13.9",,
"Devenski, Chris",606965,"R","96.9",,"36.2","90.4",,,,"49.6",
"Legumina, Casey",668984,"R","96.9","96",,"89.5",,,,"44.8",
"Greene, Hunter",668881,"R","96.9",,,,"87.5",,"42",,
"Gilbert, Logan",669302,"R","96.8","98.6",,,"57.2","66","16.9",,
"Pérez, Martín",527048,"L","96.8","96.3","65.9","99.5",,"35.8",,,
"Holman, Grant",680880,"R","96.8",,,,"77.6",,"10.1",,
"Headrick, Brent",687396,"L","96.8",,,,"97.8",,"21.7",,
"Brogdon, Connor",641401,"R","96.7",,"40","97.4",,,,,
"Strider, Spencer",675911,"R","96.7",,,"78.3",,"58.7","32.2",,
"Liberatore, Matthew",669461,"L","96.6","93.2","51.1","96.1",,"94.4","22.6",,
"Hiraldo, Yaramil",682274,"R","96.6",,,"73.5",,,"33",,
"Poulin, PJ",676571,"L","96.6","95.5",,"98.7",,,,"30.1",
"Smith, Cade",671922,"R","96.5",,,,"93.1",,,"38.9",
"Hill, Tim",657612,"L","96.5","93",,,,,"53.1",,
"Márquez, Germán",608566,"R","96.5","93.7",,"96.9",,"19.3","34.4",,
"López, Jorge",605347,"R","96.4","95",,"99",,"76.4","30.9",,
"Verlander, Justin",434378,"R","96.4",,,"94.1",,"67.5","34","48.3",
"Woods Richardson, Simeon",680573,"R","96.3",,,"86.2","92.1","82.7","46",,
"Gray, Jon",592351,"R","96.3",,,"99.3",,,"31.9",,
"Enright, Nic",663671,"R","96.3",,,,,"47.6","21",,
"Taylor, Troy",700187,"R","96.3","93.9",,,,,,"61.4",
"Curtiss, John",595928,"R","96.3",,"46.9","78.2",,,"26.4",,
"Pérez, Eury",691587,"R","96.2","95",,"99.1",,"59.3","25.2","37.3",
"Warren, Austin",681810,"R","96.1","96.6","24.4",,,,,"49.2",
"Knack, Landon",689017,"R","96.1",,,"88.6",,"84.6","26.7",,
"Arias, Luarbert",678215,"R","96.1",,,,"83.4",,"30.2",,
"Enns, Dietrich",608650,"L","96","96.3","22.3","98.4",,"78.5",,,
"Weaver, Luke",596133,"R","96",,"67.6","88.4",,,"53.3",,
"McDermott, Chayce",694646,"R","95.9",,"37.7",,"73.6",,"34.6",,
"DeSclafani, Anthony",543101,"R","95.9","95.3",,,"72.4","63","36.4",,
"Banda, Anthony",607455,"L","95.9","94.3",,"99.1",,,"27.3",,
"Matthews, Zebby",805673,"R","95.8","95.4","52.7","98.9",,"49.3","17.8",,
"Ray, Robbie",592662,"L","95.8",,,"94.3",,"42.6","50.3","60.7",
"Littell, Zack",641793,"R","95.8","94.5",,,"77.3",,"50.3","50.5",
"Nicolas, Kyle",693312,"R","95.8",,,,,"72.8","27.7",,
"Booser, Cam",592155,"L","95.8",,"21.6","92",,,,"54.9",
"Williams, Gavin",668909,"R","95.8","98.7","59",,,"87.3",,"52",
"Bieber, Shane",669456,"R","95.8",,"33.9","89.6",,"81.6","13.1",,
"Scott, Tayler",605463,"R","95.8","95.9",,,"77.5",,"21.9","43.5",
"Baker, Bryan",641329,"R","95.7",,,"87.5",,,"44.8",,
"Gaddis, Hunter",683769,"R","95.7",,,"96.5",,,"50",,
"Zulueta, Yosver",691172,"R","95.7","94.1",,"97.8",,,"20.8",,
"Sterner, Justin",686993,"R","95.7",,"31.7",,,,,"49.1",
"Akin, Keegan",669211,"L","95.7",,,"98.1",,,"25.6",,
"Leasure, Jordan",673929,"R","95.6","96",,,"93.3",,"35.7",,
"Stephenson, Robert",596112,"R","95.6",,"16.5",,"96",,"13.9",,
"Eisert, Brandon",685126,"L","95.6","92.8",,"88.1",,,"41.8",,
"Yates, Kirby",489446,"R","95.6",,,,"98.1",,,,
"Sasaki, Roki",808963,"R","95.6",,,,"91.6",,"43.4",,
"Contreras, Roansy",672710,"R","95.6","96.4",,"99.4",,"61.3","27.2",,
"Gibaut, Ian",664139,"R","95.6",,"58.3","97.4",,,"40.8","55.3",
"Wilson, Justin",458677,"L","95.6",,"63.7",,"89.3",,"24.6",,
"Brown, Ben",676962,"R","95.5",,,"92",,"26.3",,,
"Kimbrel, Craig",518886,"R","95.5",,,"93.7",,"65.1",,"57.6",
"Martinez, Justin",679885,"R","95.5","94.7",,,"88.6",,"44.5",,
"Pilkington, Konnor",663455,"L","95.5",,,"88.5",,,"12.2",,
"Perkins, Jack",678022,"R","95.5",,"52.3","96",,,,"37.6",
"Rodríguez, Elvin",660730,"R","95.5",,"49.7","97.5",,"79",,"36.1",
"Chafin, Andrew",605177,"L","95.4","93.5",,,,,"30.2",,
"Milner, Hoby",571948,"L","95.4","92.2",,"95",,,,"63",
"Johnson, Seth",686751,"R","95.4",,,,"67.5","91","32.4",,
"Henriquez, Edgardo",683618,"R","95.3","95.6","57.2",,,"66.2","31.8",,
"Lorenzen, Michael",547179,"R","95.3","91","50","97.3",,"65","20.6","35.4",
"Alcala, Jorge",660896,"R","95.3","92.4",,"94.5",,"43.1","31.4",,
"Whitley, Forrest",666215,"R","95.3","94.3","37.9",,,"86.8",,,"63.4"
"Cecconi, Slade",677944,"R","95.3","96.4","40","89.7",,"82","30.5",,
"Kriske, Brooks",621139,"R","95.2",,"28.2",,"51.6",,,,
"Young, Brandon",687064,"R","95.2",,"45.8","99.2","81","88.5","29.1",,
"Peralta, Wandy",593974,"L","95.2","94.8",,"84.1",,,"27.9",,
