"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Coulombe, Danny",543056,"L","70.9","69.6","29.8",,,"93.2",,"46.3",
"Alvarez, Andrew",674841,"L","70.9","63.1",,"81.9",,"61.1","32.8",,
"Uribe, Abner",682842,"R","70.9","70.5",,,,,"36.5",,
"Anderson, Shaun",641312,"R","70.8",,,"78.8",,,"40.6","55.9",
"Suter, Brent",608718,"L","70.5","88.3",,"94.2",,,"47.5",,
"King, John",667463,"L","70.2","73.3",,"83.3",,"77.1","32.5",,
"Herrin, Tim",682120,"L","70.1","70.4",,,,"53.1","12.7",,
"Moll, Sam",594580,"L","69.5","75.5",,"83.9",,,,"49.4",
"Lovelady, Richard",663992,"L","69.3","68.6",,,,,"29.8","44.5",
"Pallante, Andre",669467,"R","68.7","78.6",,,,"79","32.3",,
"Roycroft, Chris",688297,"R","68.2","93.1","31.5",,,,,,
"Rolison, Ryan",669020,"L","67.4",,,"63.3",,"76.6","34.6",,
"Steele, Justin",657006,"L","66","72.4",,,,"66.7","48",,
"Barlow, Scott",605130,"R","66","69.4",,,,"86.2","45.2","54.7",
"Stroman, Marcus",573186,"R","64.2","61.1","38",,"77.9","73.5","34.2",,"61.6"
"Williams, Trevor",592866,"R","61.8","68.4",,"90.1",,,"37.1","50",
"Festa, Matt",670036,"R","60.4","61.4","50.5",,,,,"53.3",
"Gray, Sonny",543243,"R","58.3","57","31.7","75.1",,"89.7","34.4","56.6",
"Valdez, Framber",664285,"L","57.3","76",,"77.5",,"82.3","29.3",,
"Turnbull, Spencer",605513,"R","52.7",,,"90.4",,"88.2",,"42.5",
"Kent, Zak",687849,"R","51.7","68",,,,"81.4","47.5",,
"Saalfrank, Andrew",685314,"L","47.1","54.2",,,,"73",,,
"Murfee, Penn",682171,"R","36.9","60.9",,,,,,"75.8",
"Lee, Chase",695445,"R","36.6","38.9",,"75.2",,,,"71",
"Snider, Collin",676092,"R","34.5","42.6","33.7",,,,,"62.3","50.7"
