"last_name, first_name","player_id","attempts","n_outs_above_average","n_oaa_slice_back_left","n_oaa_slice_back","n_oaa_slice_back_right","n_oaa_slice_back_all","n_oaa_slice_in_left","n_oaa_slice_in","n_oaa_slice_in_right","n_oaa_slice_in_all"
"Merrill, Jackson",701538,"323","3","3","1","0","4","0","-1","0","-1"
"White, Eli",642201,"139","3","0","0","1","2","1","1","0","2"
"Wiemer, Joey",686894,"39","3","0","0","0","0","0","1","2","3"
"Lukes, Nathan",664770,"276","3","2","3","0","6","0","-3","1","-3"
"McCarthy, Jake",664983,"147","3","0","1","0","2","0","1","0","2"
"Rave, John",670231,"114","3","1","2","-1","3","0","1","-1","0"
"Taylor, Michael A.",572191,"255","3","2","2","0","5","1","-1","-2","-1"
"Crews, Dylan",686611,"212","3","3","0","0","3","0","-1","1","0"
"Taylor, Tyrone",621438,"268","3","0","-2","3","1","2","-1","2","3"
"Roden, Alan",702176,"103","2","1","0","1","2","0","0","0","0"
"Dunn, Blake",694362,"62","2","0","1","0","2","0","0","0","0"
"Baddoo, Akil",668731,"17","2","0","0","0","0","1","0","0","2"
"Encarnacion, Jerar",666464,"30","2","0","1","0","1","1","0","0","1"
"Gilbert, Drew",687551,"74","2","1","-1","1","1","-1","0","1","1"
"Pérez, Wenceel",672761,"207","2","0","1","0","1","0","1","1","1"
"McCormick, Chas",676801,"89","2","1","0","1","1","0","0","0","0"
"Hampson, Garrett",641658,"33","2","0","0","0","0","0","1","1","2"
"Helman, Michael",680737,"97","2","1","1","0","2","-1","0","1","0"
"Keirsey Jr., DaShawn",680577,"59","2","0","0","0","0","0","0","1","1"
"Myers, Dane",667472,"239","2","0","0","-1","-2","-1","1","3","3"
"Dean, Justin",681909,"14","1","0","1","0","1","0","-1","1","0"
"Edman, Tommy",669242,"59","1","0","-1","0","0","0","1","0","2"
"Friedl, TJ",670770,"414","1","-1","1","2","1","0","0","0","0"
"García, Adolis",666969,"311","1","1","-2","-4","-5","2","1","3","6"
"Greene, Riley",682985,"337","1","-1","1","-2","-2","3","2","-2","3"
"Hays, Austin",669720,"143","1","0","0","1","1","0","1","0","0"
"Johnson, Bryce",669369,"62","1","0","0","0","1","1","0","0","1"
"Johnson, Daniel",669288,"40","1","-1","1","0","0","0","0","0","1"
"McKinstry, Zach",656716,"76","1","0","0","1","1","0","0","-1","-1"
"Perkins, Blake",663368,"132","1","1","1","1","2","0","-1","0","-1"
"Schneemann, Daniel",682177,"75","1","0","0","0","1","1","-2","1","0"
"Slater, Austin",596103,"79","1","0","1","0","2","-1","0","0","0"
"Smith, Cam",701358,"282","1","0","0","0","0","-2","2","1","1"
"Trammell, Taylor",666211,"105","1","0","0","0","0","-1","1","1","1"
"Alexander, Blaze",677942,"8","1","0","0","0","0","0","0","0","0"
"Thomas, Rhylan",689041,"8","1","0","0","0","0","0","0","0","0"
"Noda, Ryan",676116,"11","1","0","0","0","0","0","0","0","1"
"McCutchen, Andrew",457705,"11","1","1","0","0","1","0","0","0","0"
"Bruján, Vidal",660644,"13","1","1","0","0","1","0","0","0","0"
"Caissie, Owen",683357,"16","1","0","1","0","1","1","0","0","1"
