"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
656716,"McKinstry, Zach",1,1,1,"74.78654",0,0,0,0,0,"7.74158",0,-0.3055410421941,0,0,1,1
694359,"Kavadas, Niko",12,1,11,"74.70076",0.41666666666666663,0.36363636363636365,0.3333333333333333,0.2727272727272727,0.25,"7.295940833",0,-1.1911170719834778,1,0.08333333333333333,5,0.4166666666666667
624431,"Trevino, Jose",18,0.9473684210526315,16,"74.608119444",0.5,0.5,0.4444444444444444,0.25,0.2222222222222222,"7.325223333",0,0.17457579684493285,2,0.1111111111111111,9,0.5
678011,"Seigler, Anthony",5,0.8333333333333334,4,"74.588958",0.4,0.25,0.2,0,0,"7.527598",0,-0.9383009908313216,1,0.2,3,0.6
687287,"Monteverde, Patrick",41,0.9111111111111111,36,"74.55400878",0.4878048780487805,0.16666666666666666,0.14634146341463414,0.08333333333333333,0.07317073170731707,"7.515801951",1,1.6135613144591314,5,0.12195121951219512,14,0.34146341463414637
542932,"Berti, Jon",18,1,17,"74.515454444",0.4444444444444444,0.8235294117647058,0.7777777777777778,0.5882352941176471,0.5555555555555556,"7.372298889",0,-0.5625053858066186,1,0.05555555555555555,15,0.8333333333333334
543592,"Nola, Austin",15,1,15,"74.490035333",0.4666666666666667,0.6666666666666666,0.6666666666666666,0.4666666666666667,0.4666666666666667,"7.31339",0,6.877637152472195,0,0,11,0.7333333333333333
642708,"Rosario, Amed",7,1,7,"74.402421429",0.5714285714285715,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.42857142857142855,"7.43324",0,0.9264232615430197,0,0,6,0.8571428571428571
676701,"Trejo, Alan",6,0.8571428571428571,6,"74.305481667",0.33333333333333337,0.5,0.5,0.3333333333333333,0.3333333333333333,"7.276486667",0,-0.5454637100237314,0,0,3,0.5
676609,"Caballero, José",7,0.875,7,"74.270714286",0.2857142857142857,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,"7.11776",0,1.9391364547939576,0,0,5,0.7142857142857143
691769,"Abner, Philip",27,0.8709677419354839,23,"74.245241481",0.4444444444444444,0.21739130434782608,0.18518518518518517,0.08695652173913043,0.07407407407407407,"7.125602963",2,1.5007024167482474,4,0.14814814814814814,9,0.3333333333333333
643396,"Kiner-Falefa, Isiah",3,1,3,"74.20492",0.33333333333333337,0.3333333333333333,0.3333333333333333,0,0,"6.91754",0,-0.6546762759971357,0,0,2,0.6666666666666666
685068,"Ragsdale, Carson",43,0.86,37,"74.167782791",0.3953488372093023,0.35135135135135137,0.3023255813953488,0.24324324324324326,0.20930232558139536,"7.387810465",2,3.06694634405403,6,0.13953488372093023,19,0.4418604651162791
641658,"Hampson, Garrett",3,1,3,"74.08164",0.33333333333333337,1,1,0.6666666666666666,0.6666666666666666,"6.962133333",0,-0.7736058680188821,0,0,3,1
696131,"Black, Mason",39,0.9512195121951219,31,"74.017846923",0.43589743589743585,0.2903225806451613,0.23076923076923078,0.12903225806451613,0.10256410256410256,"7.043173077",0,1.928758369766109,8,0.20512820512820512,12,0.3076923076923077
663967,"Salazar, César",4,1,4,"73.9846675",0.5,0.5,0.5,0.25,0.25,"7.898045",0,-0.8216363019544782,0,0,3,0.75
656638,"Lange, Alex",12,1,7,"73.819256667",0.5,0.42857142857142855,0.25,0.2857142857142857,0.16666666666666666,"7.5435825",0,-0.0753947728940446,5,0.4166666666666667,4,0.3333333333333333
681987,"Eaton, Nate",4,1,4,"73.7970675",0.25,0.5,0.5,0.5,0.5,"7.72801",0,-0.782911841521446,0,0,2,0.5
