"last_name, first_name","player_id","oaa","n_fieldout_5stars","n_opp_5stars","n_5star_percent","n_fieldout_4stars","n_opp_4stars","n_4star_percent","n_fieldout_3stars","n_opp_3stars","n_3star_percent","n_fieldout_2stars","n_opp_2stars","n_2star_percent","n_fieldout_1stars","n_opp_1stars","n_1star_percent"
"Pérez, Wenceel",672761,"2","2","19","10.5","3","3","100.0","6","7","85.7","10","14","71.4","11","12","91.7"
"McCormick, Chas",676801,"2","1","9","11.1","0","1","0.0","1","3","33.3","9","9","100.0","6","6","100.0"
"Hampson, Garrett",641658,"2","0","2","0.0","1","1","100.0","3","3","100.0","2","2","100.0","2","2","100.0"
"Helman, Michael",680737,"2","1","5","20.0","0","1","0.0","3","5","60.0","13","13","100.0","7","7","100.0"
"Keirsey Jr., DaShawn",680577,"2","0","5","0.0","0","0",,"2","2","100.0","3","3","100.0","2","2","100.0"
"Myers, Dane",667472,"2","3","17","17.6","0","2","0.0","6","7","85.7","15","17","88.2","14","16","87.5"
"Dean, Justin",681909,"1","1","1","100.0","1","1","100.0","0","0",,"0","1","0.0","0","0",
"Edman, Tommy",669242,"1","0","2","0.0","1","2","50.0","1","1","100.0","2","2","100.0","10","11","90.9"
"Friedl, TJ",670770,"1","0","27","0.0","1","7","14.3","9","13","69.2","22","24","91.7","34","34","100.0"
"García, Adolis",666969,"1","2","26","7.7","5","8","62.5","12","17","70.6","18","21","85.7","23","28","82.1"
"Greene, Riley",682985,"1","2","23","8.7","3","6","50.0","7","13","53.8","23","26","88.5","15","18","83.3"
"Hays, Austin",669720,"1","0","10","0.0","0","1","0.0","2","3","66.7","6","7","85.7","9","9","100.0"
"Johnson, Bryce",669369,"1","1","2","50.0","0","1","0.0","1","1","100.0","1","1","100.0","5","5","100.0"
"Johnson, Daniel",669288,"1","0","2","0.0","0","0",,"3","3","100.0","2","2","100.0","5","5","100.0"
"McKinstry, Zach",656716,"1","0","5","0.0","1","2","50.0","2","2","100.0","5","7","71.4","3","3","100.0"
"Perkins, Blake",663368,"1","0","7","0.0","0","2","0.0","3","3","100.0","3","3","100.0","11","12","91.7"
"Schneemann, Daniel",682177,"1","0","4","0.0","2","4","50.0","2","2","100.0","5","6","83.3","3","3","100.0"
"Slater, Austin",596103,"1","1","4","25.0","1","1","100.0","0","0",,"6","6","100.0","4","5","80.0"
"Smith, Cam",701358,"1","1","17","5.9","1","7","14.3","13","18","72.2","16","18","88.9","17","18","94.4"
"Trammell, Taylor",666211,"1","2","11","18.2","0","2","0.0","1","3","33.3","9","10","90.0","9","9","100.0"
"Alexander, Blaze",677942,"1","0","1","0.0","0","0",,"0","0",,"2","2","100.0","2","2","100.0"
"Thomas, Rhylan",689041,"1","0","0",,"0","0",,"1","1","100.0","1","1","100.0","1","1","100.0"
"Noda, Ryan",676116,"1","0","1","0.0","0","0",,"1","1","100.0","2","2","100.0","0","0",
"McCutchen, Andrew",457705,"1","0","0",,"0","0",,"2","2","100.0","1","1","100.0","1","1","100.0"
"Bruján, Vidal",660644,"1","0","0",,"1","1","100.0","1","1","100.0","0","0",,"2","2","100.0"
"Caissie, Owen",683357,"1","0","1","0.0","2","3","66.7","1","1","100.0","1","1","100.0","2","2","100.0"
"Biggio, Cavan",624415,"1","0","0",,"1","1","100.0","0","0",,"1","1","100.0","2","2","100.0"
"Siani, Michael",672279,"1","1","1","100.0","0","0",,"1","1","100.0","0","1","0.0","2","2","100.0"
"Fletcher, Dominic",666150,"1","0","1","0.0","0","0",,"1","1","100.0","1","1","100.0","0","0",
"Jankowski, Travis",608671,"1","0","6","0.0","0","0",,"1","1","100.0","1","1","100.0","2","2","100.0"
"Gonzalez, Oscar",660757,"1","0","4","0.0","0","0",,"1","1","100.0","0","0",,"5","5","100.0"
"Mesa Jr., Victor",683748,"1","0","0",,"0","0",,"2","2","100.0","0","0",,"3","3","100.0"
"Melendez, MJ",669004,"1","0","2","0.0","0","0",,"1","1","100.0","2","2","100.0","3","3","100.0"
"Cortes, Carlos",666126,"1","0","6","0.0","0","0",,"1","1","100.0","1","1","100.0","3","3","100.0"
