"entity_id","entity_name","entity_code","team_id","total_pitches","total_pitches","total_pitches_empty","median_seconds_empty","total_pitches_onbase","median_seconds_empty","freq_hot","freq_warm","freq_cold"
624585,"Soler, Jorge","Bat",108,614,614,401,15.901,213,15.901,0.26547231270358307,0.7263843648208469,0.008143322475570033
672569,"Campero, Gustavo","Bat",108,116,116,69,15.903,47,15.903,0.22413793103448276,0.7672413793103449,0.008620689655172414
660162,"Moncada, Yoán","Bat",108,518,518,314,15.904,204,15.904,0.2471042471042471,0.747104247104247,0.005791505791505791
608701,"Refsnyder, Rob","Bat",111,410,410,211,15.906,199,15.906,0.1975609756097561,0.7975609756097561,0.004878048780487805
542303,"Ozuna, Marcell","Bat",144,1303,1303,769,15.909,534,15.909,0.25940138142747504,0.7329240214888718,0.007674597083653108
695734,"Lile, Daylen","Bat",120,526,526,305,15.91,221,15.91,0.279467680608365,0.720532319391635,0
683227,"Freeman, Cody","Bat",140,199,199,132,15.911,67,15.911,0.21105527638190955,0.7839195979899497,0.005025125628140704
680869,"Gelof, Zack","Bat",133,168,168,110,15.911,58,15.911,0.24404761904761904,0.7559523809523809,0
691019,"Teel, Kyle","Bat",145,533,533,362,15.912,171,15.912,0.24390243902439024,0.7504690431519699,0.005628517823639775
660271,"Ohtani, Shohei","Bat",119,1255,1255,913,15.915,342,15.915,0.3043824701195219,0.6884462151394423,0.007171314741035857
660670,"Acuña Jr., Ronald","Bat",144,778,778,515,15.918,263,15.918,0.2802056555269923,0.7146529562982005,0.005141388174807198
665019,"Clemens, Kody","Bat",142,650,650,419,15.92,231,15.92,0.25384615384615383,0.7446153846153846,0.0015384615384615385
642215,"Wilson, Weston","Bat",143,244,244,162,15.921,82,15.921,0.24180327868852458,0.7581967213114754,0
663698,"Bart, Joey","Bat",134,610,610,324,15.921,286,15.921,0.1901639344262295,0.7967213114754098,0.013114754098360656
663586,"Riley, Austin","Bat",144,771,771,460,15.927,311,15.927,0.25551232166018156,0.7431906614785992,0.0012970168612191958
543309,"Higashioka, Kyle","Bat",140,600,600,362,15.928,238,15.928,0.24,0.7583333333333333,0.0016666666666666668
666185,"Carlson, Dylan","Bat",110,461,461,295,15.93,166,15.93,0.23427331887201736,0.7570498915401301,0.008676789587852495
593871,"Polanco, Jorge","Bat",136,900,900,583,15.931,317,15.931,0.26222222222222225,0.7311111111111112,0.006666666666666667
678882,"Rafaela, Ceddanne","Bat",111,714,714,437,15.934,277,15.934,0.24929971988795518,0.7408963585434174,0.00980392156862745
690976,"Freeland, Alex","Bat",119,207,207,136,15.934,71,15.934,0.24154589371980675,0.748792270531401,0.00966183574879227
677800,"Abreu, Wilyer","Bat",111,637,637,389,15.936,248,15.936,0.23233908948194662,0.7613814756671899,0.006279434850863423
683146,"Baty, Brett","Bat",121,766,766,451,15.936,315,15.936,0.21671018276762402,0.779373368146214,0.0039164490861618795
677595,"Mauricio, Ronny","Bat",121,279,279,175,15.937,104,15.937,0.23655913978494625,0.7562724014336918,0.007168458781362007
665161,"Peña, Jeremy","Bat",117,711,711,504,15.937,207,15.937,0.2770745428973277,0.7158931082981715,0.007032348804500703
595777,"Profar, Jurickson","Bat",144,751,751,540,15.942,211,15.942,0.2769640479360852,0.7203728362183754,0.002663115845539281
665877,"Fermín, José","Bat",138,138,138,94,15.942,44,15.942,0.2898550724637681,0.6884057971014492,0.021739130434782608
669911,"Toglia, Michael","Bat",115,590,590,390,15.944,200,15.944,0.2711864406779661,0.7271186440677966,0.001694915254237288
621035,"Taylor, Chris","Bat",108,184,184,118,15.944,66,15.944,0.21739130434782608,0.782608695652174,0
694203,"Guzman, Denzer","Bat",108,71,71,55,15.944,16,15.944,0.36619718309859156,0.6197183098591549,0.014084507042253521
608369,"Seager, Corey","Bat",140,692,692,417,15.946,275,15.946,0.25,0.7471098265895953,0.002890173410404624
669134,"Campusano, Luis","Bat",135,60,60,33,15.947,27,15.947,0.26666666666666666,0.7333333333333333,0
645444,"Herrera, Jose","Bat",109,370,370,249,15.947,121,15.947,0.27837837837837837,0.7189189189189189,0.002702702702702703
