"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Brantly, Rob",542963,0.3006974886765457,,,,,0.3006974886765457,-0.01523543467000597,0.29719299806335364,0.018739925283198254,51,51,0,0,0,0,0,0,0
"Allen, Greg",656185,0.29879886818178564,0.29879886818178564,0.05369296869059986,0.2451058994911856,,,,,,123,0,0,0,0,0,21,102,0
"Siani, Michael",672279,0.2943574148250001,0.2943574148250001,0.5974566838743539,-0.3030992690493544,,,,,,178,0,0,0,0,0,0,178,0
"Wisely, Brett",689172,0.2926753911192457,0.2926753911192457,0.23662205590626303,,0.056053335212982655,,,,,450,0,0,384,63,3,0,0,0
"Handley, Maverick",668974,0.2924100504306496,,,,,0.2924100504306496,1.2059147234113354,-1.442291011863553,0.528786338882867,362,362,0,0,0,0,0,0,0
"DeJong, Paul",657557,0.28523426506467625,0.28523426506467625,-0.5862505085634359,,0.8714847736281128,,,,,1323,0,27,297,795,204,0,0,0
"Montes, Coco",663796,0.28037750399961664,0.28037750399961664,0.3675481629817711,0.0037741079763722787,-0.0909447669585268,,,,,78,0,0,48,21,0,9,0,0
"Romo, Drew",691011,0.27314074678278066,,,,,0.27314074678278066,0.2394564117970272,,0.033684334985753454,6,6,0,0,0,0,0,0,0
"Garcia, Aramis",605244,0.2676528338171555,,,,,0.2676528338171555,0.1611489472946841,0.07341282136763197,0.03309106515483944,30,30,0,0,0,0,0,0,0
"Jung, Jace",690291,0.25581681400187356,0.25581681400187356,0.5418686061260466,,-0.2860517921241724,,,,,390,0,0,0,390,0,0,0,0
"Knizner, Andrew",668800,0.2503728031939842,,,,,0.2503728031939842,1.1331339270753353,-0.06763334727070897,-0.8151277766106427,702,702,0,0,0,0,0,0,0
"Rodgers, Brendan",663898,0.2280438741664836,0.2280438741664836,-0.1992935333253077,0.009831321435374686,0.4175060860564166,,,,,857,0,0,857,0,0,0,0,0
"Thomas, Alek",677950,0.21893554665183326,0.21893554665183326,0.14164248120369752,0.07729306544813738,,,,,,3241,0,0,0,0,0,0,3241,0
"Pederson, Joc",592626,0.21392194800510544,0.21392194800510544,0.2761183248359662,-0.062196376830860794,,,,,,66,0,57,0,0,0,0,0,9
"Harris, Dustin",687957,0.20614964649846929,0.20614964649846929,0.4186764617295381,-0.21252681523106848,,,,,,282,0,0,0,0,0,165,72,45
"Mead, Curtis",678554,0.2048897297652877,0.2048897297652877,-0.14763427012281752,,0.352523999888105,,,,,1632,0,619,326,687,0,0,0,0
"Rortvedt, Ben",666163,0.19014413800630342,,,,,0.19014413800630342,0.7362505062939961,-0.7159649908743565,0.16985862258666257,975,975,0,0,0,0,0,0,0
"Taylor, Chris",621035,0.17567545079804384,0.17567545079804384,-0.09275579499548985,-0.4205783048709551,0.6890095506644875,,,,,878,0,0,187,15,0,237,202,237
"Cameron, Daz",663662,0.17341324602057365,0.17341324602057365,0.10561661366393124,0.06779663235664234,,,,,,235,0,0,0,0,0,99,0,136
"Trejo, Alan",676701,0.15098486844750109,0.15098486844750109,-0.2558175853734279,0.15135999367667163,0.25544246014425753,,,,,342,0,0,0,0,339,0,0,0
"Hicklen, Brewer",676551,0.14532586187999727,0.14532586187999727,0.2036253190608502,-0.05829945718085294,,,,,,27,0,0,0,0,0,0,27,0
