"id","name","side","avg_bat_speed","swing_tilt","attack_angle","attack_direction","ideal_attack_angle_rate","avg_intercept_y_vs_plate","avg_intercept_y_vs_batter","avg_batter_y_position","avg_batter_x_position","competitive_swings"
669304,"Miranda, Jose","R","70.673243214",26.020955268119422,10.504306995690731,-4.25932255573575,0.6249999999999999,6.965236181755059,35.25033531740656,28.285099135651503,31.224826290435452,56
681460,"Baldwin, Brooks","R","70.672030575",29.96052311062973,11.194587777805664,2.882509834191391,0.5923344947735192,1.0688565870825424,29.5434853652598,28.47462877817726,30.14019145358132,574
683734,"Vaughn, Andrew","R","70.666420463",29.411576380589747,7.808964151165076,-1.829774915844427,0.48387096774193544,-2.1269563395126525,29.51421362552264,31.64116996503529,29.096483179512944,713
668930,"Turang, Brice","L","70.652912252",31.17542110686023,6.9503848354969655,8.213697655788982,0.4514018691588785,1.2655987208038135,31.86196285379547,30.596364132991653,26.812830788304232,1070
691182,"Amador, Adael","R","70.640368846",29.859782212478986,5.1717301510161136,-7.699596242674211,0.40109890109890106,4.834719060906609,33.77424022688458,28.939521165977975,25.87831740328246,182
677870,"Jiménez, Leo","R","70.638881538",30.523648302011715,5.453405281544519,2.1860546764792046,0.4615384615384615,4.3428635971877325,28.350209398378986,24.00734580119125,29.073581778889068,52
678246,"Vargas, Miguel","R","70.631688011",35.43110074207817,11.903977693765649,-2.9866042013775753,0.6457446808510637,4.724753688455784,35.31319811280427,30.588444424348477,28.06749565409232,940
680911,"Miller, Owen","R","70.619380357",35.88719950182022,5.787838161763634,1.8367951636088757,0.3214285714285714,4.337674940961932,29.432794346403345,25.09511940544141,27.11901920492002,28
702616,"Holliday, Jackson","L","70.618351546",31.890876965595186,8.285817424436427,5.560444807891581,0.5281124497991968,0.31498075725003,26.176596359448816,25.86161560219879,27.5641996629471,996
606115,"Arcia, Orlando","R","70.596135562",26.778652534324685,7.424626962584204,-0.2924606506710441,0.5753424657534246,1.019683848258965,29.107529146401326,28.08784529814236,26.832312215647722,365
700932,"Manzardo, Kyle","L","70.594998772",37.019465652018525,17.333712549454205,-0.6147122345429628,0.5216374269005847,10.91046325311284,33.63158984379813,22.72112659068529,31.39988933826681,855
666971,"Gurriel Jr., Lourdes","R","70.593145666",36.88271990210819,10.500060962816608,-6.0215009140531395,0.5048754062838569,2.3379806031351893,31.103286874513014,28.76530627137783,26.060599865373938,923
677943,"Banfield, Will","R","70.576871364",29.500277909057267,7.974444775248897,-12.073601767724867,0.5,4.653217993206481,37.186722565914,32.53350457270753,27.99377073532711,22
687859,"Johnston, Troy","L","70.571048182",32.01740413859467,11.292636837400794,-4.113751579930218,0.5454545454545454,-0.08195975132036742,32.915991120049135,32.99795087136951,27.465920097614816,209
681508,"Gasper, Mickey","R","70.568511039",26.931338634779483,9.334774827879738,-4.879610611333616,0.5714285714285715,11.079671809359022,31.92203534870994,20.842363539350917,28.968265703347996,154
695670,"Ford, Harry","R","70.560820714",35.866758935607635,19.929099374717165,-10.48409891960987,0.5,16.02634398536928,43.83221097133967,27.805866985970397,24.151780298240524,14
672761,"Pérez, Wenceel","R","70.54541386",29.72622889257517,7.981501277625398,-4.040022304678345,0.518628912071535,2.9689641161865716,28.27614717804531,25.30718306185874,24.195609731539214,671
680862,"MacIver, Willie","R","70.539083196",31.351633596775034,9.025030618289156,4.033152081816727,0.5360824742268041,-2.037002289406466,25.890190931904353,27.927193221310823,31.23658301634208,194
592206,"Castellanos, Nick","R","70.532084618",39.95913982533077,15.056668938529112,-4.521497231936245,0.47246891651865003,0.9591323634228188,30.77864399553351,29.819511632110693,29.03386982024864,1126
